Gene	Value
CCND2	4016.9588299
CCND3	3008.8220670241867
CCNE1	66.96714904792071
CCNE2	98.47418085407931
CCNG1	8950.120783952998
CCNG2	7582.691204947001
CCNH	1668.96542795
CD2	325.612521282
CD22	160.616990404
CD226	32.5995008513
CD274	38.4348785018
CD276	7002.07512382
CD28	102.930989785
CD34	2127.3006694
CD36	377.588724656
CD38	2535.8351648355892
CD4	1133.25216685
CD40	959.233439096
CD40LG	41.2263001083
CD58	315.454031884
CD6	197.316611206
CD80	11.3155084352
CD82	3664.34630862
CD86	205.434240056
CD8A	372.6681434760245
CD8B	125.75539777097552
CD99	10518.9158799
CDA	86.5340698034
CDC14A	1189.0343987004817
CDC14B	1682.8886395295185
CDC16	3202.8947531267618
CDC20	189.00110277
CDC23	1741.7348901126795
CDC25A	184.3324756227735
CDC25B	871.4015051830277
CDC25C	33.87992048441674
CDC26	324.4959704384709
CDC27	2546.504140228069
CDC40	1685.69097276
CDC42	11562.59673426626
CDC45	70.2468464634
CDC5L	2571.03300573
CDC6	209.814657174
CDC7	127.71204148
CDH1	30873.6288694
CDH15	21.6385427952
CDH2	378.131481195
CDH3	3092.52838183
CDH4	16.9179693546
CDH5	1095.67491487
CDIPT	6403.08365965
CDK1	328.951961771
CDK2	1259.00870608
CDK4	4979.90253057
CDK6	2003.696447917735
CDK7	1001.05511918
CDKN1A	6923.22993732
CDKN1B	3718.522906673025
CDKN1C	1150.1240520069757
CDKN2A	113.179538771
CDKN2B	591.670232936
CDKN2C	568.073730847
CDKN2D	251.614688129
CDO1	1528.13359
CDS1	2316.6052275163443
CDS2	1903.2379275636556
CEL	259.6948614763025
CEPT1	1322.4122388193973
CERK	1336.64146417
CERS1	125.93195983594086
CERS2	10148.451207246935
CERS3	52.02228757161289
CERS4	6482.9486534518255
CERS5	1984.116700201157
CERS6	2242.4401574826447
CES1	3029.8445674044096
CES2	3417.00268921559
CETN2	3379.00336635
CFLAR	1806.86371518
CFTR	743.148990094
CGA	149.04250502981685
CGN	3832.74566631
CH25H	243.283547438
CHAD	40.32499226138647
CHAT	4.4969238508
CHDH	1701.86830599
CHEK1	649.9743073821863
CHEK2	228.05846618181357
CHERP	3581.88954013
CHIA	5.264839034223109
CHIT1	372.5662049218902
CHKA	2956.323363256148
CHKB	819.2437623781893
CHPT1	3298.9608841506024
CHRM1	5700.792563064724
CHRM2	25.404620027790305
CHRM3	239.24239668786092
CHRM5	4.989359232316048
CHRNA7	39.588008822337144
CHUK	1261.5061522998253
CISH	725.953509519
CKB	39347.038105343185
CKM	1783.9060238368643
CKMT1A	378.69669942742433
CKMT1B	965.2002398989889
CKMT2	309.3747871845585
CLCA1	9.411778362469041
CLCA2	508.090814115445
CLCA4	388.04275653917654
CLDN1	2875.193487848125
CLDN10	170.94834971362997
CLDN11	636.727412359
CLDN14	5.486631326396536
CLDN15	282.66566707903104
CLDN16	9.084661817066545
CLDN17	0.07657483361707966
CLDN18	3.5556415415565943
CLDN19	13.389103853866095
CLDN2	1986.1097339822707
CLDN20	3.2820964246991844
CLDN22	1.0629879275640333
CLDN23	172.85337022129553
CLDN25	0.4858381055564082
CLDN3	10965.108381052683
CLDN4	23854.032386602503
CLDN5	1013.1368209244549
CLDN6	1.9271978021952372
CLDN7	5154.004391751752
CLDN8	2349.2724423443633
CLDN9	19.691359696634454
CMA1	13.4350332766
CMAS	2778.7825414
CMPK1	14279.291711798876
CMPK2	305.64370840404035
CNDP1	6.05359309704
CNDP2	20163.6710649
CNGA1	222.65494892457352
CNGA2	0.14399860702597042
CNGA3	1.61867357994
CNGA4	10.946099674956004
CNGB1	3.102751122108091
CNGB3	1.9108884073687074
CNTN1	1407.17624981
CNTN2	35.0626257545
CNTNAP1	583.622059279
CNTNAP2	4489.3436968
COASY	4282.61459139
COL1A1	21511.98037300097
COL1A2	30763.141425498725
COL2A1	2112.4289970581685
COL4A1	11525.479472998666
COL4A2	19139.672225645845
COL4A3	219.0644056648724
COL4A4	584.5092477939278
COL4A5	3310.4244698871175
COL4A6	1785.0142005876446
COL6A1	12024.121014545895
COL6A2	25394.15298405611
COL6A3	13027.112366508949
COL6A5	8.10400866739716
COL6A6	4.932924469886144
COL9A1	428.39421142113315
COL9A2	8642.587157554819
COL9A3	100.17661739679932
COLGALT1	3065.8186232770795
COLGALT2	456.0929422693995
COMP	1912.9088182927997
COMT	6975.7849969
COQ2	573.890748336
COQ3	413.923134964
COQ5	1524.34953722
COQ6	1022.46779755
COQ7	1925.59636666
COX10	651.529058969
COX11	2329.57868557
COX15	2871.52949853
COX17	1824.84565083
COX4I1	15553.04029947987
COX4I2	69.634963627786
COX5A	3643.50824175741
COX5B	4562.6031961
COX6A1	6420.416692458306
COX6A2	121.80983980791336
COX6B1	7794.6155393799845
COX6B2	6.290148583803745
COX6C	4796.344993032643
COX7A1	840.5100603591126
COX7A2	5180.920078150303
COX7A2L	5654.6700587910855
COX7B	4042.3528285062202
COX7B2	6.060284785637704
COX7C	9433.71825182
COX8A	7818.595672852
COX8C	0.6508667388949422
CP	2004.2810141625037
CPA3	857.598610896
CPEB1	74.15814115472256
CPEB2	1401.095728213661
CPEB3	864.3986225044712
CPEB4	2305.092458596216
CPOX	750.167098746
CPS1	293.393418202
CPT1A	5920.362714746013
CPT1B	629.5260232547625
CPT1C	128.68066088855684
CPT2	2421.36971444
CRB3	1007.45379972
CREB1	2591.24837486
CREB3	5117.42373433053
CREB3L1	13341.165009277323
CREB3L2	6803.707282139121
CREB3L3	1.121362792138862
CREB3L4	12787.583914807725
CREB5	108.30154000932444
CREBBP	5993.919536458962
CRK	2208.234774032555
CRKL	4169.828335397445
CRLS1	3567.94913713
CRNKL1	2666.4656593428617
CRTC2	2132.93412397
CRYL1	3958.50733246
CS	8076.44501625
CSAD	953.753901873
CSF2RB	315.5042563073203
CSN2	0.119834390961
CSNK1D	10812.5675399
